"spend","Display","Paid Search","Paid Social"
252231.360144782,2828.79561753195,6286.27026469319,1320.08669140315
256235.032528032,2868.24349926642,6369.39612802577,1334.60700868989
260238.704911283,2907.53526407279,6452.06205484212,1348.97055906946
264242.377294533,2946.67152979146,6534.27058997716,1363.17903505744
268246.049677784,2985.6529118177,6616.02426418519,1377.23411089638
272249.722061034,3024.48002311133,6697.32559421781,1391.13744275303
276253.394444285,3063.15347420635,6778.17708290142,1404.89066891354
280257.066827535,3101.67387322053,6858.58121921422,1418.49540997651
284260.739210786,3140.041825865,6938.54047836289,1431.95326904393
288264.411594036,3178.25793545374,7018.05732185874,1445.26583191008
292268.083977287,3216.3228029131,7097.13419759349,1458.4346672484
296271.756360537,3254.23702679123,7175.77353991469,1471.46132679633
300275.428743788,3292.0012032675,7253.97776970056,1484.34734553817
304279.101127038,3329.61592616187,7331.7492944346,1497.09424188593
308282.773510289,3367.08178694422,7409.09050827967,1509.70351785826
312286.445893539,3404.39937474366,7486.00379215167,1522.17665925745
316290.11827679,3441.5692763578,7562.49151379289,1534.51513584449
320293.79066004,3478.59207626197,7638.55602784486,1546.72040151228
324297.463043291,3515.46835661841,7714.19967592083,1558.79389445692
328301.135426541,3552.19869728542,7789.42478667791,1570.73703734721
332304.807809792,3588.78367582648,7864.23367588868,1582.55123749227
336308.480193042,3625.22386751933,7938.62864651253,1594.23788700735
340312.152576293,3661.51984536505,8012.61198876657,1605.79836297791
344315.824959543,3697.672180097,8086.18598019608,1617.23402762188
348319.497342794,3733.68144018986,8159.35288574466,1628.54622845013
352323.169726044,3769.54819186854,8232.11495782394,1639.73629842532
356326.842109295,3805.27299911707,8304.47443638294,1650.80555611891
360330.514492545,3840.85642368751,8376.433548977,1661.75530586658
364334.186875796,3876.29902510875,8447.99451083638,1672.58683792187
368337.859259046,3911.6013606953,8519.15952493443,1683.30142860828
372341.531642297,3946.7639855561,8589.93078205542,1693.90034046962
376345.204025547,3981.78745260321,8660.31046086198,1704.38482241879
380348.876408798,4016.67231256048,8730.30072796217,1714.75610988496
384352.548792048,4051.4191139723,8799.90373797619,1725.01542495912
388356.221175299,4086.02840321212,8869.1216336027,1735.16397653809
392359.893558549,4120.50072449113,8937.95654568474,1745.20296046702
396363.5659418,4154.83661986673,9006.41059327542,1755.1335596802
400367.23832505,4189.03662925116,9074.48588370306,1764.95694434055
404370.910708301,4223.10129041987,9142.18451263614,1774.67427197744
408374.583091551,4257.03113902009,9209.50856414774,1784.28668762313
412378.255474802,4290.82670857916,9276.46011077977,1793.79532394766
416381.927858052,4324.48853051298,9343.04121360671,1803.20130139232
420385.600241303,4358.01713413435,9409.25392229911,1812.5057283017
424389.272624553,4391.41304666127,9475.10027518664,1821.70970105429
428392.945007804,4424.67679322527,9540.5822993209,1830.81430419164
432396.617391054,4457.80889687962,9605.70201053776,1839.82061054617
436400.289774305,4490.8098786076,9670.46141351944,1848.7296813676
440403.962157555,4523.68025733068,9734.86250185624,1857.54256644799
444407.634540806,4556.42054991666,9798.9072581079,1866.26030424544
448411.306924056,4589.0312711878,9862.59765386462,1874.88392200647
452414.979307307,4621.51293392895,9925.93564980777,1883.41443588704
456418.651690557,4653.86604889557,9988.92319577023,1891.8528510723
460422.324073808,4686.09112482178,10051.5622307965,1900.20016189504
464425.996457058,4718.18866842839,10113.8546832021,1908.45735195286
468429.668840309,4750.15918443079,10175.8024706335,1916.62539422406
472433.341223559,4782.00317554698,10237.4075001266,1924.70525118229
476437.01360681,4813.72114250538,10298.6716681656,1932.69787490996
480440.68599006,4845.31358405281,10359.5968607415,1940.60420721044
484444.358373311,4876.78099696222,10420.1849534101,1948.42517971903
488448.030756561,4908.12387604059,10480.4378113497,1956.16171401275
492451.703139812,4939.34271413668,10540.3572894186,1963.81472171889
496455.375523062,4970.43800214875,10599.945232212,1971.38510462251
500459.047906313,5001.41022903233,10659.203474119,1978.8737547726
504462.720289563,5032.25988180787,10718.1338393792,1986.28155458729
508466.392672814,5062.98744556842,10776.7381421384,1993.60937695776
512470.065056064,5093.59340348725,10835.0181865047,2000.85808535113
516473.737439315,5124.07823682545,10892.9757666042,2008.02853391221
520477.409822565,5154.44242493949,10950.6126666361,2015.12156756412
524481.082205816,5184.68644528877,11007.9306609274,2022.13802210788
528484.754589066,5214.81077344311,11064.9315139878,2029.07872432085
532488.426972317,5244.81588309025,11121.6169805641,2035.94449205424
536492.099355567,5274.70224604329,11177.9888056939,2042.73613432937
540495.771738818,5304.47033224809,11234.0487247595,2049.45445143308
544499.444122068,5334.12060979068,11289.7984635414,2056.10023501203
548503.116505319,5363.65354490464,11345.2397382712,2062.67426816591
552506.788888569,5393.06960197838,11400.3742556846,2069.1773255398
556510.46127182,5422.36924356249,11455.2037130741,2075.61017341541
560514.13365507,5451.55293037697,11509.7297983407,2081.97356980138
564517.806038321,5480.62112131852,11563.9541900466,2088.26826452258
568521.478421571,5509.57427346774,11617.8785574663,2094.49499930852
572525.150804822,5538.41284209627,11671.504560638,2100.65450788067
576528.823188072,5567.13728067403,11724.8338504153,2106.74751603899
580532.495571323,5595.74804087629,11777.8680685174,2112.77474174742
584536.167954573,5624.24557259081,11830.6088475796,2118.73689521849
588539.840337824,5652.63032392489,11883.0578112043,2124.634678997
592543.512721074,5680.90274121242,11935.2165740101,2130.4687880428
596547.185104325,5709.06326902089,11987.086741682,2136.23990981269
600550.857487575,5737.11235015842,12038.6699110208,2141.94872434144
604554.529870826,5765.05042568067,12089.9676699922,2147.59590432189
608558.202254076,5792.87793489781,12140.9815977754,2153.18211518422
612561.874637327,5820.59531538143,12191.7132648123,2158.70801517438
616565.547020577,5848.20300297139,12242.1642328554,2164.17425543167
620569.219403828,5875.7014317827,12292.3360550159,2169.58148006539
624572.891787078,5903.09103421235,12342.2302758118,2174.93032623083
628576.564170329,5930.37224094607,12391.8484312151,2180.2214242043
632580.236553579,5957.54548096515,12441.1920486994,2185.45539745739
636583.90893683,5984.61118155317,12490.2626472866,2190.63286273047
640587.58132008,6011.56976830271,12539.061737594,2195.75443010533
644591.253703331,6038.42166512203,12587.5908218805,2200.82070307709
648594.926086581,6065.16729424178,12635.8513940931,2205.83227862531
652598.598469832,6091.80707622158,12683.8449399126,2210.78974728432
656602.270853082,6118.34142995669,12731.5729367997,2215.69369321282
660605.943236333,6144.77077268457,12779.0368540402,2220.54469426271
664609.615619583,6171.09551999142,12826.2381527902,2225.34332204719
668613.288002834,6197.31608581877,12873.1782861215,2230.09014200808
672616.960386084,6223.43288246992,12919.8586990658,2234.78571348249
676620.632769335,6249.44632061649,12966.2808286594,2239.43058976872
680624.305152585,6275.35680930483,13012.4461039877,2244.02531819143
684627.977535836,6301.16475596248,13058.3559462286,2248.57044016616
688631.649919086,6326.87056640455,13104.011768697,2253.06649126313
692635.322302337,6352.47464484013,13149.4149768875,2257.51400127033
696638.994685587,6377.97739387864,13194.5669685185,2261.91349425596
700642.667068838,6403.37921453612,13239.4691335744,2266.26548863017
704646.339452088,6428.68050624161,13284.1228543492,2270.57049720617
708650.011835339,6453.88166684336,13328.5295054882,2274.82902726064
712653.684218589,6478.98309261514,13372.6904540311,2279.04158059348
716657.35660184,6503.98517826242,13416.6070594538,2283.20865358701
720661.02898509,6528.88831692863,13460.2806737099,2287.33073726437
724664.701368341,6553.69290020129,13503.7126412728,2291.40831734747
728668.373751591,6578.39931811823,13546.9042991769,2295.44187431416
732672.046134842,6603.00795917364,13589.8569770588,2299.43188345485
736675.718518092,6627.51921032426,13632.5719971981,2303.37881492857
740679.390901343,6651.93345699542,13675.0506745583,2307.28313381829
744683.063284593,6676.25108308711,13717.2943168273,2311.14530018581
748686.735667844,6700.47247098,13759.3042244572,2314.96576912589
752690.408051094,6724.59800154151,13801.0816907051,2318.74499081994
